Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares trimestre anterior + 2%,Diferencia,Porcentaje de diferencia
2022,3,Buenos Aires,"78,11","79,13","1,02","1,31"
2022,3,Capital Federal,"122,28","123,74","1,46","1,19"
2022,3,Catamarca,"65,33","63,65","-1,68","-2,57"
2022,3,Chaco,"43,86","44,67","0,81","1,85"
2022,3,Chubut,"84,38","84,85","0,47","0,56"
2022,3,Córdoba,"88,31","89,23","0,92","1,04"
2022,3,Corrientes,"48,21","49,32","1,11","2,3"
2022,3,Entre Ríos,"63,67","65,18","1,51","2,37"
2022,3,Formosa,"43,76","44,29","0,53","1,21"
2022,3,Jujuy,"58,91","58,47","-0,44","-0,75"
2022,3,La Pampa,"96,59","94,84","-1,75","-1,81"
2022,3,La Rioja,"80,66","81,74","1,08","1,34"
2022,3,Mendoza,"51,03","50,38","-0,65","-1,27"
2022,3,Misiones,"51,82","52,02","0,2","0,39"
2022,3,Neuquén,"80,37","81,62","1,25","1,56"
2022,3,Río Negro,"67,98","69,21","1,23","1,81"
2022,3,Salta,"57,76","58,69","0,93","1,61"
2022,3,San Juan,"50,8","50,45","-0,35","-0,69"
2022,3,San Luis,"81,74","83,4","1,66","2,03"
2022,3,Santa Cruz,"43,19","44,01","0,82","1,9"
2022,3,Santa Fe,"78,55","79,46","0,91","1,16"
2022,3,Santiago Del Estero,"47,98","48,65","0,67","1,4"
2022,3,Tierra Del Fuego,"99,51","101,86","2,35","2,36"
2022,3,Tucumán,"61,14","60,5","-0,64","-1,05"
2022,2,Buenos Aires,"77,58","77,6","0,02","0,03"
2022,2,Capital Federal,"121,31","114,04","-7,27","-5,99"
2022,2,Catamarca,"62,4","59,37","-3,03","-4,86"
2022,2,Chaco,"43,79","44,94","1,15","2,63"
2022,2,Chubut,"83,19","89,81","6,62","7,96"
2022,2,Córdoba,"87,48","87,48","0,0","0,0"
2022,2,Corrientes,"48,35","48,59","0,24","0,5"
2022,2,Entre Ríos,"63,9","64,97","1,07","1,67"
2022,2,Formosa,"43,42","35,66","-7,76","-17,87"
2022,2,Jujuy,"57,32","59,22","1,9","3,31"
2022,2,La Pampa,"92,98","93,49","0,51","0,55"
2022,2,La Rioja,"80,14","80,35","0,21","0,26"
2022,2,Mendoza,"49,39","49,71","0,32","0,65"
2022,2,Misiones,"51,0","50,02","-0,98","-1,92"
2022,2,Neuquén,"80,02","75,65","-4,37","-5,46"
2022,2,Río Negro,"67,85","68,38","0,53","0,78"
2022,2,Salta,"57,54","57,23","-0,31","-0,54"
2022,2,San Juan,"49,46","44,42","-5,04","-10,19"
2022,2,San Luis,"81,76","82,33","0,57","0,7"
2022,2,Santa Cruz,"43,15","44,21","1,06","2,46"
2022,2,Santa Fe,"77,9","78,85","0,95","1,22"
2022,2,Santiago Del Estero,"47,7","48,11","0,41","0,86"
2022,2,Tierra Del Fuego,"99,86","100,26","0,4","0,4"
2022,2,Tucumán,"59,31","58,54","-0,77","-1,3"
2022,1,Buenos Aires,"76,08","77,17","1,09","1,43"
2022,1,Capital Federal,"111,8","113,5","1,7","1,52"
2022,1,Catamarca,"58,21","56,36","-1,85","-3,18"
2022,1,Chaco,"44,06","44,93","0,87","1,97"
2022,1,Chubut,"88,05","84,22","-3,83","-4,35"
2022,1,Córdoba,"85,76","86,2","0,44","0,51"
2022,1,Corrientes,"47,64","46,42","-1,22","-2,56"
2022,1,Entre Ríos,"63,7","64,42","0,72","1,13"
2022,1,Formosa,"34,96","35,14","0,18","0,51"
2022,1,Jujuy,"58,06","58,06","0,0","0,0"
2022,1,La Pampa,"91,66","91,36","-0,3","-0,33"
2022,1,La Rioja,"78,77","79,48","0,71","0,9"
2022,1,Mendoza,"48,74","48,46","-0,28","-0,57"
2022,1,Misiones,"49,04","50,04","1,0","2,04"
2022,1,Neuquén,"74,17","74,77","0,6","0,81"
2022,1,Río Negro,"67,04","67,0","-0,04","-0,06"
2022,1,Salta,"56,11","57,95","1,84","3,28"
2022,1,San Juan,"43,55","40,38","-3,17","-7,28"
2022,1,San Luis,"80,72","81,91","1,19","1,47"
2022,1,Santa Cruz,"43,34","43,91","0,57","1,32"
2022,1,Santa Fe,"77,3","78,63","1,33","1,72"
2022,1,Santiago Del Estero,"47,17","47,99","0,82","1,74"
2022,1,Tierra Del Fuego,"98,29","100,37","2,08","2,12"
2022,1,Tucumán,"57,39","57,05","-0,34","-0,59"
2021,4,Buenos Aires,"75,66","73,11","-2,55","-3,37"
2021,4,Capital Federal,"111,27","113,5","2,23","2,0"
2021,4,Catamarca,"55,25","53,76","-1,49","-2,7"
2021,4,Chaco,"44,05","43,82","-0,23","-0,52"
2021,4,Chubut,"82,57","82,32","-0,25","-0,3"
2021,4,Córdoba,"84,51","82,91","-1,6","-1,89"
2021,4,Corrientes,"45,51","45,8","0,29","0,64"
2021,4,Entre Ríos,"63,16","63,42","0,26","0,41"
2021,4,Formosa,"34,45","34,64","0,19","0,55"
2021,4,Jujuy,"56,92","56,8","-0,12","-0,21"
2021,4,La Pampa,"89,57","85,97","-3,6","-4,02"
2021,4,La Rioja,"77,92","78,81","0,89","1,14"
2021,4,Mendoza,"47,51","46,46","-1,05","-2,21"
2021,4,Misiones,"49,06","46,48","-2,58","-5,26"
2021,4,Neuquén,"73,3","71,1","-2,2","-3,0"
