,Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija por cada 100 hab trimestre anterior + 2%,Diferencia habitantes,Porcentaje de diferencia habitantes,Accesos telefonía fija por cada 100 hogares trimestre anterior + 2%,Diferencia hogares,Porcentaje de diferencia hogares
0,2014,1,Buenos Aires,"26,72","85,26","27,14","0,42","1,57","86,43","1,17","4,38"
1,2014,1,Capital Federal,"52,66","128,57","53,61","0,95","1,8","130,23","1,66","3,15"
2,2014,1,Catamarca,"10,03","39,45","10,22","0,19","1,89","40,17","0,72","7,18"
3,2014,1,Chaco,"9,09","34,02","9,24","0,15","1,65","34,57","0,55","6,05"
4,2014,1,Chubut,"17,66","57,59","17,92","0,26","1,47","58,46","0,87","4,93"
5,2014,1,Córdoba,"21,09","68,88","21,33","0,24","1,14","69,65","0,77","3,65"
6,2014,1,Corrientes,"9,71","36,88","9,88","0,17","1,75","37,54","0,66","6,8"
7,2014,1,Entre Ríos,"17,14","57,33","17,46","0,32","1,87","58,4","1,07","6,24"
8,2014,1,Formosa,"7,38","28,98","7,52","0,14","1,9","29,53","0,55","7,45"
9,2014,1,Jujuy,"7,81","30,56","7,98","0,17","2,18","31,2","0,64","8,19"
10,2014,1,La Pampa,"21,26","64,52","21,88","0,62","2,92","66,39","1,87","8,8"
11,2014,1,La Rioja,"10,98","41,24","11,12","0,14","1,28","41,76","0,52","4,74"
12,2014,1,Mendoza,"17,26","61,84","17,54","0,28","1,62","62,87","1,03","5,97"
13,2014,1,Misiones,"9,49","34,85","9,64","0,15","1,58","35,39","0,54","5,69"
14,2014,1,Neuquén,"15,27","51,29","15,52","0,25","1,64","52,14","0,85","5,57"
15,2014,1,Río Negro,"17,69","57,51","17,97","0,28","1,58","58,43","0,92","5,2"
16,2014,1,Salta,"10,76","44,44","10,96","0,2","1,86","45,26","0,82","7,62"
17,2014,1,San Juan,"12,71","49,89","12,92","0,21","1,65","50,72","0,83","6,53"
18,2014,1,San Luis,"10,92","38,17","11,11","0,19","1,74","38,79","0,62","5,68"
19,2014,1,Santa Cruz,"13,17","44,25","13,37","0,2","1,52","44,92","0,67","5,09"
20,2014,1,Santa Fe,"22,93","72,91","23,26","0,33","1,44","73,96","1,05","4,58"
21,2014,1,Santiago del Estero,"7,73","31,15","7,85","0,12","1,55","31,64","0,49","6,34"
22,2014,1,Tierra del Fuego,"22,23","74,98","22,52","0,29","1,3","75,93","0,95","4,27"
23,2014,1,Tucumán,"13,47","54,39","13,76","0,29","2,15","55,56","1,17","8,69"
24,2014,2,Buenos Aires,"26,61","84,74","27,22","0,61","2,29","86,55","1,81","6,8"
25,2014,2,Capital Federal,"52,56","127,68","53,74","1,18","2,25","129,9","2,22","4,22"
26,2014,2,Catamarca,"10,02","39,38","10,22","0,2","2,0","40,18","0,8","7,98"
27,2014,2,Chaco,"9,06","33,89","9,54","0,48","5,3","35,67","1,78","19,65"
28,2014,2,Chubut,"17,57","57,31","17,92","0,35","1,99","58,47","1,16","6,6"
29,2014,2,Córdoba,"20,91","68,28","21,15","0,24","1,15","69,08","0,8","3,83"
30,2014,2,Corrientes,"9,69","36,8","10,14","0,45","4,64","38,49","1,69","17,44"
31,2014,2,Entre Ríos,"17,12","57,25","17,94","0,82","4,79","60,02","2,77","16,18"
