,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Comparación
0,2022,3,Buenos Aires,4715469,6,4721668,785911.5
1,2022,3,Capital Federal,1545534,2,1547679,772767.0
2,2022,3,Catamarca,70292,1,70293,70292.0
3,2022,3,Chaco,144141,5,144146,28828.2
4,2022,3,Chubut,164874,904,165778,182.38
5,2022,3,Córdoba,1038600,68,1038668,15273.53
6,2022,3,Corrientes,144842,4,144846,36210.5
7,2022,3,Entre Ríos,268937,22,268959,12224.41
8,2022,3,Formosa,68537,1,68538,68537.0
9,2022,3,Jujuy,118823,0,118823,inf
10,2022,3,La Pampa,115921,171,116092,677.9
11,2022,3,La Rioja,86860,4,86864,21715.0
12,2022,3,Mendoza,288746,777,289523,371.62
13,2022,3,Misiones,182157,0,182157,inf
14,2022,3,Neuquén,162693,468,163161,347.63
15,2022,3,Río Negro,160010,548,160558,291.99
16,2022,3,Salta,204536,5,204541,40907.2
17,2022,3,San Juan,103118,281,103399,366.97
18,2022,3,San Luis,121888,182,122070,669.71
19,2022,3,Santa Cruz,49312,198,49510,249.05
20,2022,3,Santa Fe,887700,110,887810,8070.0
21,2022,3,Santiago Del Estero,119030,2,119032,59515.0
22,2022,3,Tierra Del Fuego,53584,312,53896,171.74
23,2022,3,Tucumán,263087,30,263117,8769.57
24,2022,2,Buenos Aires,4660984,6,4667183,776830.67
25,2022,2,Capital Federal,1534626,2,1536771,767313.0
26,2022,2,Catamarca,67007,1,67008,67007.0
27,2022,2,Chaco,143559,5,143564,28711.8
28,2022,2,Chubut,161901,904,162805,179.09
29,2022,2,Córdoba,1026367,68,1026435,15093.63
30,2022,2,Corrientes,144993,4,144997,36248.25
31,2022,2,Entre Ríos,269330,22,269352,12242.27
32,2022,2,Formosa,67881,0,67881,inf
33,2022,2,Jujuy,115314,0,115314,inf
34,2022,2,La Pampa,111356,171,111527,651.2
35,2022,2,La Rioja,86026,4,86030,21506.5
36,2022,2,Mendoza,278785,777,279562,358.8
37,2022,2,Misiones,178813,0,178813,inf
38,2022,2,Neuquén,161500,468,161968,345.09
39,2022,2,Río Negro,159216,548,159764,290.54
40,2022,2,Salta,203172,5,203177,40634.4
41,2022,2,San Juan,100126,281,100407,356.32
42,2022,2,San Luis,121559,182,121741,667.91
43,2022,2,Santa Cruz,48987,198,49185,247.41
44,2022,2,Santa Fe,878749,110,878859,7988.63
45,2022,2,Santiago Del Estero,118042,2,118044,59021.0
46,2022,2,Tierra Del Fuego,53458,312,53770,171.34
47,2022,2,Tucumán,254497,30,254527,8483.23
48,2022,1,Buenos Aires,4549131,6,4555424,758188.5
49,2022,1,Capital Federal,1415378,2,1417541,707689.0
50,2022,1,Catamarca,62377,1,62378,62377.0
51,2022,1,Chaco,144114,5,144119,28822.8
52,2022,1,Chubut,170701,927,171628,184.14
53,2022,1,Córdoba,1003729,74,1003803,13563.91
