,Año,Trimestre,Ingresos (miles de $)
0,2013,1,13135235
1,2013,2,13970806
2,2013,3,15235659
3,2013,4,16218846
4,2014,1,15938353
5,2014,2,17680972
6,2014,3,18976053
7,2014,4,20012332
8,2015,1,19337342
9,2015,2,19945453
10,2015,3,21785238
11,2015,4,24881967
12,2016,1,24763052
13,2016,2,25353971
14,2016,3,27416177
15,2016,4,30143233
16,2017,1,31205565
17,2017,2,33509264
18,2017,3,35711689
19,2017,4,38110028
20,2018,1,38733946
21,2018,2,40653502
22,2018,3,43280089
23,2018,4,44026803
24,2019,1,50246691
25,2019,2,55338816
26,2019,3,60905891
27,2019,4,65388842
28,2020,1,72077147
29,2020,2,73538944
30,2020,3,79634755
31,2020,4,83479114
32,2021,1,93112153
33,2021,2,104782020
34,2021,3,117751925
35,2021,4,127389786
36,2022,1,130454676
37,2022,2,153032313
38,2022,3,174057836
