Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,873,4.704,No,2,No,975,No,664,7.218
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,No,No,No,10,1,No,No,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,No,No,No,No,No,No,No,181,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,No,782,No,6,167,No,No,327,1.282
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,No,No,No,No,No,No,No,6,6
BUENOS AIRES,25 de Mayo,Ernestina,6854030,66,No,No,No,No,No,No,No,66
BUENOS AIRES,25 de Mayo,Pedernales,6854070,568,No,No,No,No,No,No,7,575
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,No,No,No,No,No,No,No,19,19
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4.360,3.362,82,5.886,83,1,No,831,14.605
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,No,No,No,60,No,No,No,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,No,No,1,No,No,No,No,463,464
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,No,No,2,2,No,No,No,203
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,No,No,No,88,No,No,No,42,130
BUENOS AIRES,9 de Julio,Patricios,6588110,76,No,No,No,No,No,No,No,76
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780,No,1,1.418,1,No,No,283,2.483
BUENOS AIRES,Adolfo Alsina,Maza,6007070,No,No,No,390,No,2,No,14,406
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,No,No,No,1.202,No,No,No,No,1.202
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,No,No,No,198,No,No,No,No,198
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,No,No,No,58,No,No,No,No,58
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,No,2,943,No,No,No,313,1.807
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,No,No,No,630,No,No,No,59,689
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,No,No,No,No,No,No,No,45,45
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,No,No,No,No,No,No,No,14,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,No,6,1,No,No,No,8,472
BUENOS AIRES,Alberti,Mechita,6021030,285,No,No,No,No,No,No,No,285
BUENOS AIRES,Almirante Brown,Adrogué,6028010,214,9.259,59,11.442,2,1,No,26,21.003
BUENOS AIRES,Almirante Brown,Burzaco,6028010,142,16.127,35,11.335,40,2,No,292,27.973
BUENOS AIRES,Almirante Brown,Claypole,6028010,5,7.568,3,4.149,13,No,No,2,11.740
BUENOS AIRES,Almirante Brown,Don Orione,6028010,No,5.184,No,No,No,No,No,1,5.185
BUENOS AIRES,Almirante Brown,Glew,6028010,55,7.978,10,11.652,12,No,No,54,19.761
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,No,7.374,1,1.410,2,No,No,1,8.788
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30,9.559,20,14.739,24,No,No,1,24.373
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5.311,3,54,2,No,No,1,5.373
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3.418,4,4.066,4,No,No,1,7.496
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,37,10.375,15,9.925,193,No,No,340,20.885
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,26,4.232,4,3.261,131,No,No,2,7.656
BUENOS AIRES,Almirante Brown,San Jose,6028010,3,9.174,2,195,No,3,No,1,9.378
BUENOS AIRES,Arrecifes,Arrecifes,6077010,906,1.127,12,4.393,60,1,No,1.882,8.381
BUENOS AIRES,Arrecifes,Todd,6077020,No,No,No,304,No,No,No,No,304
BUENOS AIRES,Arrecifes,Viña,6077030,50,60,No,No,No,No,No,No,110
BUENOS AIRES,Avellaneda,Avellaneda,6035010,1.486,8.698,48,5.769,68,5,No,87,16.161
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4.956,No,2.723,2,No,No,No,7.682
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,664,No,2.421,12,No,No,26,3.134
BUENOS AIRES,Avellaneda,Gerli,6035010,3,6.053,No,4.334,No,No,No,No,10.390
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5.981,1,2.324,No,No,No,No,8.315
BUENOS AIRES,Avellaneda,Sarandí,6035010,1.935,10.031,67,11.628,4,2,No,1,23.668
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,16,8.928,2,6.819,11,No,No,191,15.967
BUENOS AIRES,Avellaneda,Wilde,6035010,2.052,12.587,66,12.956,8,No,No,No,27.669
BUENOS AIRES,Ayacucho,Ayacucho,6042010,2.053,No,2,No,No,No,No,139,2.194
