,Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
0,BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,873,4.704,- 0,2,- 0,975,- 0,664,7.218
1,BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,- 0,- 0,- 0,10,1,- 0,- 0,192
2,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,181,181
3,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,- 0,782,- 0,6,167,- 0,- 0,327,1.282
4,BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,6,6
5,BUENOS AIRES,25 de Mayo,Ernestina,6854030,66,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66
6,BUENOS AIRES,25 de Mayo,Pedernales,6854070,568,- 0,- 0,- 0,- 0,- 0,- 0,7,575
7,BUENOS AIRES,9 de Julio,12 de Octubre,6588030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,19,19
8,BUENOS AIRES,9 de Julio,9 de Julio,6588100,4.360,3.362,82,5.886,83,1,- 0,831,14.605
9,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,- 0,- 0,- 0,60,- 0,- 0,- 0,510
10,BUENOS AIRES,9 de Julio,Dudignac,6588040,- 0,- 0,1,- 0,- 0,- 0,- 0,463,464
11,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,- 0,- 0,2,2,- 0,- 0,- 0,203
12,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,- 0,- 0,- 0,88,- 0,- 0,- 0,42,130
13,BUENOS AIRES,9 de Julio,Patricios,6588110,76,- 0,- 0,- 0,- 0,- 0,- 0,- 0,76
14,BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780,- 0,1,1.418,1,- 0,- 0,283,2.483
15,BUENOS AIRES,Adolfo Alsina,Maza,6007070,- 0,- 0,- 0,390,- 0,2,- 0,14,406
16,BUENOS AIRES,Adolfo Alsina,Rivera,6007080,- 0,- 0,- 0,1.202,- 0,- 0,- 0,- 0,1.202
17,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,- 0,- 0,- 0,198,- 0,- 0,- 0,- 0,198
18,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,- 0,- 0,- 0,58,- 0,- 0,- 0,- 0,58
19,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,- 0,2,943,- 0,- 0,- 0,313,1.807
20,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,- 0,- 0,- 0,630,- 0,- 0,- 0,59,689
21,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,45,45
22,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,14,14
23,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,- 0,6,1,- 0,- 0,- 0,8,472
24,BUENOS AIRES,Alberti,Mechita,6021030,285,- 0,- 0,- 0,- 0,- 0,- 0,- 0,285
25,BUENOS AIRES,Almirante Brown,Adrogué,6028010,214,9.259,59,11.442,2,1,- 0,26,21.003
26,BUENOS AIRES,Almirante Brown,Burzaco,6028010,142,16.127,35,11.335,40,2,- 0,292,27.973
27,BUENOS AIRES,Almirante Brown,Claypole,6028010,5,7.568,3,4.149,13,- 0,- 0,2,11.740
28,BUENOS AIRES,Almirante Brown,Don Orione,6028010,- 0,5.184,- 0,- 0,- 0,- 0,- 0,1,5.185
29,BUENOS AIRES,Almirante Brown,Glew,6028010,55,7.978,10,11.652,12,- 0,- 0,54,19.761
30,BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,- 0,7.374,1,1.410,2,- 0,- 0,1,8.788
31,BUENOS AIRES,Almirante Brown,Longchamps,6028010,30,9.559,20,14.739,24,- 0,- 0,1,24.373
32,BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5.311,3,54,2,- 0,- 0,1,5.373
33,BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3.418,4,4.066,4,- 0,- 0,1,7.496
34,BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,37,10.375,15,9.925,193,- 0,- 0,340,20.885
35,BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,26,4.232,4,3.261,131,- 0,- 0,2,7.656
