,Unnamed: 0.1,Unnamed: 0,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,0,0,BUENOS AIRES,Bahía Blanca,Villa Bordeau,NO,NO,NO,NO,SI,SI,NO,NO,NO
1,1,1,BUENOS AIRES,Bahía Blanca,Villa Espora,NO,NO,NO,NO,NO,NO,NO,NO,NO
2,2,2,BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,NO
3,3,3,BUENOS AIRES,Balcarce,Los Pinos,NO,NO,NO,NO,NO,NO,SI,SI,NO
4,4,4,BUENOS AIRES,Balcarce,Napaleofú,NO,NO,NO,SI,SI,SI,SI,SI,NO
5,5,5,BUENOS AIRES,Balcarce,Ramos Otero,NO,NO,NO,NO,SI,NO,NO,SI,NO
6,6,6,BUENOS AIRES,Balcarce,San Agustín,NO,NO,NO,NO,NO,NO,SI,SI,NO
7,7,7,BUENOS AIRES,Balcarce,Villa Laguna La Brava,NO,NO,NO,NO,SI,SI,SI,SI,NO
8,8,8,BUENOS AIRES,Baradero,Baradero,SI,SI,NO,SI,SI,SI,SI,SI,SI
9,9,9,BUENOS AIRES,Baradero,Irineo Portela,NO,NO,NO,SI,NO,NO,SI,SI,SI
10,10,10,BUENOS AIRES,Baradero,Santa Coloma,NO,NO,NO,NO,SI,NO,NO,SI,NO
11,11,11,BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,NO,NO,NO,SI,SI,SI,SI,NO
12,12,12,BUENOS AIRES,Benito Juárez,Barker,NO,NO,SI,SI,SI,SI,SI,SI,SI
13,13,13,CHUBUT,Futaleufú,Lago Rosario,NO,NO,NO,NO,NO,NO,SI,NO,SI
14,14,14,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,NO
15,15,15,BUENOS AIRES,General Las Heras,La Choza,NO,NO,NO,NO,NO,NO,NO,NO,NO
16,16,16,BUENOS AIRES,General Las Heras,Lozano,NO,NO,NO,NO,NO,NO,NO,NO,SI
17,17,17,BUENOS AIRES,General Las Heras,Plomer,NO,NO,NO,NO,NO,NO,SI,NO,NO
18,18,18,BUENOS AIRES,General Las Heras,Villars,NO,SI,SI,SI,NO,NO,SI,NO,NO
19,19,19,BUENOS AIRES,General Lavalle,Chacras de San Clemente,NO,NO,NO,NO,NO,NO,NO,SI,NO
20,20,20,BUENOS AIRES,General Lavalle,General Lavalle,NO,SI,NO,SI,SI,SI,SI,SI,SI
21,21,21,BUENOS AIRES,General Lavalle,Pavón,NO,NO,NO,SI,SI,SI,NO,SI,NO
22,22,22,BUENOS AIRES,General Paz,Barrio Río Salado,NO,NO,NO,NO,NO,NO,NO,NO,NO
23,23,23,BUENOS AIRES,General Paz,Loma Verde,NO,NO,NO,NO,SI,SI,SI,SI,NO
24,24,24,BUENOS AIRES,General Paz,Ranchos,SI,NO,SI,SI,SI,SI,SI,SI,NO
25,25,25,BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),NO,NO,NO,NO,NO,NO,SI,SI,NO
26,26,26,BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,NO,NO,NO,SI,SI,SI,SI,NO
27,27,27,MISIONES,San Ignacio,General Urquiza,NO,NO,NO,NO,NO,NO,NO,SI,NO
28,28,28,BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),NO,SI,NO,SI,SI,NO,SI,NO,NO
29,29,29,BUENOS AIRES,Magdalena,Los Naranjos,NO,NO,NO,SI,NO,NO,NO,NO,NO
30,30,30,BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,NO,SI,SI,SI,SI,NO
31,31,31,BUENOS AIRES,Magdalena,Roberto J. Payró,NO,NO,NO,NO,NO,NO,NO,SI,NO
32,32,32,BUENOS AIRES,Magdalena,Vieytes,NO,NO,NO,SI,NO,NO,SI,SI,NO
33,33,33,BUENOS AIRES,Maipú,Las Armas,SI,NO,NO,NO,SI,SI,SI,SI,NO
34,34,34,BUENOS AIRES,Maipú,Maipú,SI,NO,SI,NO,SI,SI,SI,SI,NO
35,35,35,BUENOS AIRES,Maipú,Santo Domingo,NO,NO,NO,NO,SI,NO,SI,SI,SI
36,36,36,BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,SI,NO,NO,SI,SI,SI,NO,NO,NO
37,37,37,BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,NO,SI,SI,SI,SI,NO,NO
38,38,38,BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,NO,SI,SI,SI,SI,SI,NO
39,39,39,BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,NO
40,40,40,BUENOS AIRES,San Fernando,Victoria,SI,SI,NO,SI,SI,SI,SI,SI,SI
41,41,41,BUENOS AIRES,San Fernando,Virreyes,SI,SI,NO,SI,SI,SI,SI,NO,NO
42,42,42,BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,NO,SI
43,43,43,BUENOS AIRES,San Isidro,Beccar,SI,SI,NO,SI,SI,SI,SI,SI,NO
44,44,44,BUENOS AIRES,San Isidro,Boulogne Sur Mer,SI,SI,NO,SI,SI,SI,SI,SI,NO
45,45,45,CABA,COMUNA 04,NUEVA POMPEYA,SI,SI,SI,SI,SI,SI,SI,SI,SI
46,46,46,CHACO,San Fernando,Fontana,NO,NO,NO,SI,SI,SI,NO,SI,NO
47,47,47,CHACO,San Fernando,Puerto Vilelas,NO,NO,NO,SI,SI,SI,NO,NO,SI
48,48,48,CHACO,San Fernando,Resistencia,SI,SI,SI,SI,SI,SI,SI,SI,SI
49,49,49,CHACO,San Lorenzo,Samuhú,NO,NO,NO,NO,SI,NO,NO,NO,SI
50,50,50,BUENOS AIRES,Tandil,Desvío Aguirre,NO,NO,NO,SI,SI,SI,NO,SI,NO
51,51,51,BUENOS AIRES,Tandil,Gardey,NO,NO,NO,SI,SI,SI,SI,SI,NO
52,52,52,BUENOS AIRES,Tandil,María Ignacia (Est. Vela),SI,NO,NO,NO,SI,NO,SI,SI,NO
53,53,53,BUENOS AIRES,Tandil,Tandil,SI,SI,SI,SI,SI,SI,SI,SI,SI
54,54,54,BUENOS AIRES,Tapalqué,Crotto,NO,NO,NO,NO,NO,NO,NO,NO,NO
55,55,55,BUENOS AIRES,Tapalqué,Tapalqué,NO,NO,NO,NO,SI,SI,SI,NO,SI
56,56,56,BUENOS AIRES,Tapalqué,Velloso,NO,NO,NO,NO,NO,NO,NO,NO,NO
57,57,57,BUENOS AIRES,Tigre,Benavídez,SI,SI,NO,SI,SI,SI,SI,SI,SI
58,58,58,BUENOS AIRES,Tigre,Dique Luján,SI,SI,NO,SI,SI,SI,SI,SI,NO
59,59,59,CABA,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,SI,SI,SI,SI
60,60,60,CHUBUT,Futaleufú,Los Cipreses,NO,NO,NO,NO,NO,NO,SI,NO,SI
61,61,61,CHUBUT,Futaleufú,Trevelín,SI,NO,SI,NO,SI,SI,SI,SI,SI
62,62,62,CHUBUT,Futaleufú,Villa Futalaufquen,NO,NO,NO,NO,NO,NO,SI,NO,SI
63,63,63,CHUBUT,Gaiman,28 de Julio,NO,NO,NO,SI,SI,SI,NO,NO,SI
64,64,64,CHUBUT,Gaiman,Dique Florentino Ameghino,NO,NO,NO,NO,NO,NO,SI,NO,NO
65,65,65,CHUBUT,Gaiman,Dolavon,NO,NO,SI,SI,SI,NO,SI,NO,SI
66,66,66,BUENOS AIRES,San Isidro,Martínez,SI,SI,SI,SI,SI,SI,SI,SI,SI
67,67,67,BUENOS AIRES,San Isidro,San Isidro,SI,SI,SI,SI,SI,SI,SI,SI,SI
68,68,68,BUENOS AIRES,San Isidro,Villa Adelina,SI,SI,NO,SI,SI,SI,SI,NO,NO
69,69,69,BUENOS AIRES,San Miguel,Bella Vista,SI,SI,SI,SI,SI,SI,SI,SI,SI
70,70,70,BUENOS AIRES,San Miguel,Campo De Mayo,NO,NO,NO,NO,SI,SI,NO,NO,SI
71,71,71,BUENOS AIRES,San Miguel,Muñiz,SI,SI,SI,SI,SI,SI,SI,NO,NO
72,72,72,CORDOBA,Cruz del Eje,Canteras Quilpo,NO,NO,NO,NO,NO,NO,SI,SI,NO
73,73,73,CORDOBA,Cruz del Eje,Cruz de Caña,NO,NO,NO,NO,NO,NO,NO,SI,NO
74,74,74,BUENOS AIRES,Berisso,Berisso,SI,SI,SI,SI,SI,SI,SI,SI,NO
75,75,75,BUENOS AIRES,Berisso,Los Talas,NO,NO,NO,NO,NO,NO,NO,NO,NO
76,76,76,BUENOS AIRES,Berisso,Villa Arguello,NO,NO,NO,SI,SI,SI,NO,SI,NO
77,77,77,BUENOS AIRES,Berisso,Villa Dolores,NO,NO,NO,NO,SI,SI,NO,NO,NO
78,78,78,BUENOS AIRES,Berisso,Villa Independencia,NO,NO,NO,NO,NO,NO,NO,NO,NO
79,79,79,BUENOS AIRES,Berisso,Villa Nueva,NO,NO,NO,SI,SI,SI,NO,SI,NO
80,80,80,BUENOS AIRES,Berisso,Villa Porteña,NO,NO,NO,NO,NO,NO,NO,NO,NO
81,81,81,BUENOS AIRES,Berisso,Villa Progreso,NO,NO,NO,SI,NO,NO,NO,SI,NO
82,82,82,BUENOS AIRES,Berisso,Villa San Carlos,NO,NO,NO,NO,SI,SI,NO,NO,NO
83,83,83,BUENOS AIRES,Berisso,Villa Zula,NO,NO,NO,NO,NO,NO,NO,NO,NO
84,84,84,BUENOS AIRES,Bolívar,Hale,SI,NO,NO,NO,NO,NO,SI,NO,NO
85,85,85,BUENOS AIRES,Bolívar,Juan F. Ibarra,NO,NO,NO,NO,NO,NO,NO,NO,NO
86,86,86,BUENOS AIRES,Bolívar,Mariano Unzué,NO,NO,NO,NO,NO,NO,NO,NO,NO
87,87,87,BUENOS AIRES,Bolívar,Paula,NO,NO,NO,NO,NO,NO,NO,NO,SI
88,88,88,BUENOS AIRES,Bolívar,Pirovano,NO,NO,NO,NO,NO,SI,SI,SI,NO
89,89,89,BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),SI,SI,SI,NO,SI,SI,SI,SI,NO
90,90,90,BUENOS AIRES,Bolívar,Urdampilleta,NO,NO,SI,NO,SI,SI,SI,SI,NO
91,91,91,BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,NO,NO,NO,NO,NO,NO,NO,NO,NO
92,92,92,BUENOS AIRES,Bragado,Asamblea,NO,NO,NO,NO,NO,NO,NO,NO,NO
93,93,93,CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI
94,94,94,CORDOBA,Río Cuarto,Alpa Corral,NO,NO,NO,NO,SI,SI,NO,NO,NO
95,95,95,CORDOBA,Río Cuarto,Berrotarán,SI,SI,NO,SI,SI,SI,SI,SI,NO
96,96,96,CORDOBA,Río Cuarto,Bulnes,SI,NO,NO,NO,SI,SI,NO,NO,SI
97,97,97,CORDOBA,Río Cuarto,Chaján,NO,NO,NO,SI,SI,SI,SI,NO,SI
98,98,98,CORDOBA,Río Cuarto,Chucul,SI,NO,NO,SI,SI,SI,SI,SI,NO
99,99,99,CORDOBA,Río Cuarto,Coronel Baigorria,NO,NO,NO,SI,SI,SI,NO,NO,NO
100,100,100,CHACO,San Lorenzo,Villa Berthet,NO,NO,NO,SI,SI,SI,NO,SI,SI
101,101,101,CHACO,Sargento Cabral,Capitán Solari,NO,NO,NO,SI,SI,SI,SI,SI,NO
102,102,102,CHACO,Sargento Cabral,Colonia Elisa,NO,NO,NO,NO,SI,SI,SI,NO,SI
103,103,103,CHACO,Sargento Cabral,Colonias Unidas,NO,NO,NO,SI,SI,SI,SI,SI,NO
104,104,104,CHACO,Sargento Cabral,Ingeniero Barbet,NO,NO,NO,NO,NO,NO,NO,NO,NO
105,105,105,CHACO,Sargento Cabral,Las Garcitas,NO,NO,NO,NO,SI,SI,SI,SI,SI
106,106,106,CHACO,Tapenagá,Charadai,NO,NO,NO,SI,SI,SI,SI,NO,SI
107,107,107,CHACO,Tapenagá,Cote Lai,NO,NO,NO,NO,SI,NO,SI,NO,NO
108,108,108,CHACO,Tapenagá,Haumonía,NO,NO,NO,NO,NO,NO,NO,NO,NO
109,109,109,CHACO,Tapenagá,Horquilla,NO,NO,NO,NO,NO,NO,NO,NO,NO
110,110,110,CHACO,Tapenagá,La Sabana,NO,NO,NO,NO,NO,NO,NO,NO,NO
111,111,111,CHUBUT,Biedma,Arroyo Verde,NO,NO,NO,NO,NO,NO,NO,NO,SI
112,112,112,CHUBUT,Biedma,Puerto Madryn,SI,SI,SI,SI,SI,SI,SI,SI,SI
113,113,113,CHUBUT,Biedma,Puerto Pirámide,NO,NO,NO,NO,SI,SI,SI,SI,SI
114,114,114,CHUBUT,Biedma,Quinta El Mirador,NO,NO,NO,NO,SI,SI,NO,SI,NO
115,115,115,CORDOBA,Cruz del Eje,Cruz del Eje,SI,SI,NO,SI,SI,SI,SI,SI,NO
116,116,116,CORDOBA,Cruz del Eje,El Brete,NO,NO,NO,SI,NO,NO,NO,SI,NO
117,117,117,CORDOBA,Cruz del Eje,El Rincón,NO,NO,NO,NO,NO,NO,NO,NO,NO
118,118,118,CORDOBA,Cruz del Eje,Guanaco Muerto,NO,NO,NO,NO,NO,NO,NO,SI,NO
119,119,119,CORDOBA,Cruz del Eje,La Banda,NO,NO,NO,NO,NO,NO,NO,NO,SI
120,120,120,CORDOBA,Cruz del Eje,La Batea,NO,NO,NO,NO,NO,NO,NO,SI,NO
121,121,121,CORDOBA,Cruz del Eje,La Higuera,SI,NO,NO,NO,SI,NO,SI,SI,NO
122,122,122,CORDOBA,Cruz del Eje,Las Cañadas,NO,NO,NO,NO,NO,NO,NO,NO,NO
123,123,123,CORDOBA,Cruz del Eje,Las Playas,NO,NO,NO,SI,NO,NO,NO,SI,NO
124,124,124,CORDOBA,Cruz del Eje,Los Chañaritos,NO,NO,NO,SI,NO,NO,NO,SI,NO
125,125,125,CORDOBA,Cruz del Eje,Media Naranja,NO,NO,NO,NO,NO,NO,NO,SI,NO
126,126,126,CORDOBA,Cruz del Eje,Paso Viejo,SI,NO,NO,NO,SI,SI,SI,SI,NO
127,127,127,CORDOBA,Cruz del Eje,San Marcos Sierra,NO,SI,NO,SI,SI,SI,SI,SI,NO
128,128,128,CORDOBA,Cruz del Eje,Serrezuela,SI,NO,NO,SI,SI,SI,SI,SI,NO
129,129,129,CORDOBA,Cruz del Eje,Tuclame,NO,NO,NO,NO,NO,NO,NO,SI,NO
130,130,130,BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,NO,NO,SI,SI,SI,SI,SI,SI
131,131,131,BUENOS AIRES,General Pueyrredón,El Marquesado,NO,NO,NO,NO,NO,NO,SI,SI,NO
132,132,132,BUENOS AIRES,General Pueyrredón,Estacion Camet,NO,NO,NO,NO,SI,SI,NO,NO,NO
133,133,133,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,NO,NO,SI,SI,SI,NO,SI,SI
134,134,134,BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
135,135,135,BUENOS AIRES,General Pueyrredón,Punta Mogotes,NO,NO,NO,NO,SI,SI,NO,NO,NO
136,136,136,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,NO,NO,SI,SI,SI,SI,SI,NO
137,137,137,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,NO,NO,NO,SI,SI,SI,NO,NO,NO
138,138,138,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,NO,NO,NO,NO,SI,SI,NO,NO,NO
139,139,139,CABA,COMUNA 05,ALMAGRO,SI,SI,SI,SI,SI,SI,SI,SI,SI
140,140,140,CHUBUT,Escalante,Comodoro Rivadavia,SI,SI,SI,SI,SI,SI,SI,SI,SI
141,141,141,CHUBUT,Escalante,Diadema Argentina,NO,NO,NO,NO,SI,SI,NO,SI,NO
142,142,142,CHUBUT,Escalante,Km. 11 - Cuarteles,NO,NO,NO,NO,NO,NO,NO,NO,NO
143,143,143,CHUBUT,Escalante,KM. 3 - General Mosconi,NO,NO,NO,NO,SI,SI,NO,NO,NO
144,144,144,CHUBUT,Escalante,KM. 5 - Presidente Ortiz,NO,NO,NO,NO,NO,NO,NO,NO,NO
145,145,145,CHUBUT,Escalante,KM. 8 - Don Bosco,NO,NO,NO,NO,SI,SI,NO,NO,NO
146,146,146,CABA,COMUNA 05,BOEDO,SI,SI,SI,SI,SI,SI,SI,SI,SI
147,147,147,CHUBUT,Escalante,Rada Tilly,SI,SI,SI,SI,SI,SI,SI,SI,NO
148,148,148,CHUBUT,Florentino Ameghino,Camarones,NO,NO,NO,NO,SI,NO,SI,SI,SI
149,149,149,CHUBUT,Florentino Ameghino,Garayalde,NO,NO,NO,NO,NO,NO,NO,SI,NO
150,150,150,CHUBUT,Futaleufú,Aldea Escolar,NO,NO,NO,NO,NO,NO,SI,NO,SI
151,151,151,CHUBUT,Futaleufú,Corcovado,NO,NO,SI,NO,NO,NO,SI,NO,SI
152,152,152,CHUBUT,Futaleufú,Esquel,SI,SI,SI,NO,SI,SI,SI,SI,SI
153,153,153,BUENOS AIRES,Mar Chiquita,General Pirán,NO,NO,SI,SI,SI,SI,SI,SI,NO
154,154,154,BUENOS AIRES,Mar Chiquita,La Armonía,NO,NO,NO,NO,SI,SI,NO,SI,NO
155,155,155,BUENOS AIRES,Mar Chiquita,La Baliza,NO,NO,NO,NO,SI,SI,NO,NO,NO
156,156,156,BUENOS AIRES,Mar Chiquita,La Caleta,NO,NO,NO,NO,NO,NO,NO,SI,NO
157,157,157,BUENOS AIRES,Mar Chiquita,Mar Chiquita,NO,NO,NO,NO,SI,SI,SI,NO,NO
158,158,158,BUENOS AIRES,Mar Chiquita,Mar de Cobo,SI,NO,SI,SI,NO,NO,SI,NO,NO
159,159,159,BUENOS AIRES,Mar Chiquita,Playa Dorada,NO,NO,NO,NO,SI,SI,NO,SI,NO
160,160,160,BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,SI,NO,NO,SI,SI,SI,NO,SI,NO
161,161,161,BUENOS AIRES,Mar Chiquita,Santa Elena,NO,NO,NO,NO,NO,NO,NO,NO,NO
162,162,162,BUENOS AIRES,Mar Chiquita,Vivoratá,NO,NO,NO,SI,SI,SI,SI,SI,NO
163,163,163,BUENOS AIRES,Marcos Paz,Barrio Santa Rosa,NO,NO,NO,NO,SI,NO,NO,NO,NO
164,164,164,BUENOS AIRES,Marcos Paz,Marcos Paz,SI,SI,SI,SI,SI,SI,SI,SI,SI
165,165,165,BUENOS AIRES,Mercedes,Goldney,NO,NO,NO,NO,NO,NO,NO,NO,NO
166,166,166,BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),SI,NO,SI,SI,SI,SI,SI,SI,SI
167,167,167,BUENOS AIRES,Benito Juárez,López,NO,NO,NO,SI,NO,NO,NO,SI,NO
168,168,168,BUENOS AIRES,Benito Juárez,Tedín Uriburu,NO,NO,NO,NO,SI,SI,NO,NO,NO
169,169,169,BUENOS AIRES,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),NO,NO,NO,SI,SI,SI,NO,SI,SI
170,170,170,BUENOS AIRES,Berazategui,Berazategui,SI,SI,SI,SI,SI,SI,SI,SI,SI
171,171,171,BUENOS AIRES,Berazategui,Berazategui Oeste,SI,SI,NO,SI,SI,SI,SI,NO,NO
172,172,172,BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,SI,SI,NO,SI,SI,SI,SI,NO,NO
173,173,173,BUENOS AIRES,Berazategui,Centro Agrícola El Pato,SI,SI,NO,NO,SI,SI,SI,SI,NO
174,174,174,CORDOBA,Totoral,Sarmiento,SI,NO,NO,NO,NO,NO,SI,NO,NO
175,175,175,CORDOBA,Totoral,Simbolar,NO,NO,NO,NO,NO,NO,SI,NO,NO
176,176,176,BUENOS AIRES,Berazategui,Guillermo E. Hudson,SI,SI,SI,SI,SI,SI,SI,NO,NO
177,177,177,BUENOS AIRES,Berazategui,Juan María Gutierrez,SI,SI,SI,SI,SI,SI,SI,SI,NO
178,178,178,BUENOS AIRES,Berazategui,Pereyra,SI,SI,SI,SI,SI,NO,SI,NO,NO
179,179,179,BUENOS AIRES,Berazategui,Plátanos,NO,SI,NO,SI,SI,SI,SI,NO,NO
180,180,180,BUENOS AIRES,Berazategui,Ranelagh,SI,SI,SI,SI,SI,SI,SI,NO,SI
181,181,181,BUENOS AIRES,Berazategui,Villa España,SI,SI,NO,SI,SI,SI,SI,NO,NO
182,182,182,BUENOS AIRES,Berisso,Barrio Banco Provincia,NO,NO,NO,NO,SI,NO,NO,NO,NO
183,183,183,BUENOS AIRES,Berisso,Barrio El Carmen (Este),NO,NO,NO,SI,SI,SI,NO,SI,NO
184,184,184,BUENOS AIRES,Berisso,Barrio Universitario,NO,NO,NO,NO,SI,SI,NO,NO,NO
185,185,185,ENTRE RIOS,Colón,El Colorado,NO,NO,NO,NO,SI,SI,NO,NO,SI
186,186,186,ENTRE RIOS,Colón,Hambis,NO,NO,NO,NO,NO,NO,NO,SI,NO
187,187,187,BUENOS AIRES,General Pinto,General Pinto,NO,NO,SI,NO,SI,SI,SI,NO,SI
188,188,188,BUENOS AIRES,General Pinto,Germania (Est. Mayor José Orellano),SI,NO,NO,NO,SI,SI,NO,NO,NO
189,189,189,BUENOS AIRES,General Pinto,Gunther,NO,NO,NO,NO,NO,SI,NO,NO,NO
190,190,190,BUENOS AIRES,General Pinto,Villa Francia (Est. Coronel Granada),NO,NO,NO,SI,SI,NO,SI,NO,SI
191,191,191,BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),NO,NO,NO,NO,NO,NO,NO,NO,NO
192,192,192,BUENOS AIRES,General Pueyrredón,Barrio Colinas Verdes,NO,NO,NO,NO,SI,SI,NO,SI,NO
193,193,193,BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,NO,NO,NO,NO,SI,NO,NO,SI,NO
194,194,194,BUENOS AIRES,General Pueyrredón,Barrio El Casal,NO,NO,NO,NO,NO,NO,NO,SI,NO
195,195,195,BUENOS AIRES,General Pueyrredón,Barrio El Coyunco,NO,NO,NO,SI,SI,SI,NO,SI,NO
196,196,196,BUENOS AIRES,General Pueyrredón,Barrio La Gloria,NO,NO,NO,NO,SI,SI,NO,SI,NO
197,197,197,BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,NO,NO,NO,SI,SI,SI,NO,SI,SI
198,198,198,BUENOS AIRES,General Pueyrredón,Batán,SI,NO,NO,SI,SI,SI,SI,SI,SI
199,199,199,BUENOS AIRES,General Pueyrredón,Camet,SI,NO,NO,SI,SI,SI,SI,SI,NO
200,200,200,ENTRE RIOS,Colón,Hocker,NO,NO,NO,NO,SI,NO,NO,SI,NO
201,201,201,BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,SI,SI,SI,SI,SI,SI,SI,SI,NO
202,202,202,BUENOS AIRES,Malvinas Argentinas,Los Polvorines,SI,SI,SI,SI,SI,SI,SI,SI,SI
203,203,203,BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,NO,SI,NO,SI,NO,NO,NO,SI,NO
204,204,204,BUENOS AIRES,Malvinas Argentinas,Tortuguitas,SI,SI,NO,SI,SI,SI,SI,NO,NO
205,205,205,BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,SI,SI,SI,SI,SI,SI,SI,SI,NO
206,206,206,BUENOS AIRES,Mar Chiquita,Atlantida,NO,NO,NO,NO,SI,SI,NO,NO,NO
207,207,207,BUENOS AIRES,Mar Chiquita,Camet Norte,NO,NO,NO,NO,SI,SI,NO,NO,NO
208,208,208,BUENOS AIRES,Mar Chiquita,Coronel Vidal,SI,SI,NO,SI,SI,SI,SI,SI,NO
209,209,209,BUENOS AIRES,Mar Chiquita,Frente Mar,NO,NO,NO,NO,SI,SI,NO,NO,NO
210,210,210,BUENOS AIRES,San Miguel,San Miguel,SI,SI,SI,SI,SI,SI,SI,SI,SI
211,211,211,BUENOS AIRES,San Nicolás,Campos Salles,NO,NO,NO,NO,NO,NO,NO,NO,NO
212,212,212,BUENOS AIRES,San Nicolás,Conesa,SI,NO,NO,NO,SI,SI,SI,NO,SI
213,213,213,BUENOS AIRES,San Nicolás,Erézcano,NO,NO,NO,NO,NO,NO,NO,SI,NO
214,214,214,BUENOS AIRES,San Nicolás,General Rojo,NO,NO,NO,SI,SI,SI,SI,NO,SI
215,215,215,BUENOS AIRES,San Nicolás,La Emilia,NO,NO,NO,NO,SI,SI,NO,NO,NO
216,216,216,BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,SI,SI,SI,SI,SI,SI,SI,SI,SI
217,217,217,BUENOS AIRES,San Nicolás,Villa Campi,NO,NO,NO,NO,NO,SI,NO,NO,NO
218,218,218,BUENOS AIRES,San Nicolás,Villa Canto,NO,NO,NO,NO,SI,SI,NO,NO,NO
219,219,219,BUENOS AIRES,San Nicolás,Villa Esperanza,NO,NO,NO,NO,NO,NO,NO,NO,NO
220,220,220,BUENOS AIRES,San Nicolás,Villa Riccio,NO,NO,NO,NO,NO,NO,NO,NO,NO
221,221,221,BUENOS AIRES,San Pedro,Gobernador Castro,NO,NO,NO,NO,SI,SI,NO,NO,NO
222,222,222,BUENOS AIRES,San Pedro,Ingeniero Moneta,NO,NO,NO,NO,NO,NO,NO,NO,NO
223,223,223,BUENOS AIRES,San Pedro,Obligado,NO,NO,NO,NO,SI,NO,NO,NO,NO
224,224,224,BUENOS AIRES,San Pedro,Pueblo Doyle,NO,NO,NO,NO,NO,NO,NO,NO,NO
225,225,225,BUENOS AIRES,San Pedro,Río Tala,NO,NO,NO,SI,SI,SI,NO,NO,NO
226,226,226,BUENOS AIRES,San Pedro,San Pedro,SI,SI,NO,SI,SI,SI,SI,SI,SI
